Mod:Item:MetaData, Localized Name
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Rail
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Hardened Clay
minecraft:stained_hardened_clay:1, Orange Hardened Clay
minecraft:stained_hardened_clay:2, Magenta Hardened Clay
minecraft:stained_hardened_clay:3, Light Blue Hardened Clay
minecraft:stained_hardened_clay:4, Yellow Hardened Clay
minecraft:stained_hardened_clay:5, Lime Hardened Clay
minecraft:stained_hardened_clay:6, Pink Hardened Clay
minecraft:stained_hardened_clay:7, Gray Hardened Clay
minecraft:stained_hardened_clay:8, Light Gray Hardened Clay
minecraft:stained_hardened_clay:9, Cyan Hardened Clay
minecraft:stained_hardened_clay:10, Purple Hardened Clay
minecraft:stained_hardened_clay:11, Blue Hardened Clay
minecraft:stained_hardened_clay:12, Brown Hardened Clay
minecraft:stained_hardened_clay:13, Green Hardened Clay
minecraft:stained_hardened_clay:14, Red Hardened Clay
minecraft:stained_hardened_clay:15, Black Hardened Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
minecraft:slime, Slime Block
minecraft:barrier, Barrier
minecraft:iron_trapdoor, Iron Trapdoor
minecraft:prismarine:0, Prismarine
minecraft:prismarine:1, Prismarine Bricks
minecraft:prismarine:2, Dark Prismarine
minecraft:sea_lantern, Sea Lantern
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
minecraft:red_sandstone:0, Red Sandstone
minecraft:red_sandstone:1, Chiseled Red Sandstone
minecraft:red_sandstone:2, Smooth Red Sandstone
minecraft:red_sandstone_stairs, Red Sandstone Stairs
minecraft:stone_slab2:0, Red Sandstone Slab
minecraft:spruce_fence_gate, Spruce Fence Gate
minecraft:birch_fence_gate, Birch Fence Gate
minecraft:jungle_fence_gate, Jungle Fence Gate
minecraft:dark_oak_fence_gate, Dark Oak Fence Gate
minecraft:acacia_fence_gate, Acacia Fence Gate
minecraft:spruce_fence, Spruce Fence
minecraft:birch_fence, Birch Fence
minecraft:jungle_fence, Jungle Fence
minecraft:dark_oak_fence, Dark Oak Fence
minecraft:acacia_fence, Acacia Fence
minecraft:end_rod, End Rod
minecraft:chorus_plant, Chorus Plant
minecraft:chorus_flower, Chorus Flower
minecraft:purpur_block, Purpur Block
minecraft:purpur_pillar, Purpur Pillar
minecraft:purpur_stairs, Purpur Stairs
minecraft:purpur_slab:0, Purpur Slab
minecraft:end_bricks, End Stone Bricks
minecraft:grass_path, Grass Path
minecraft:repeating_command_block, Repeating Command Block
minecraft:chain_command_block, Chain Command Block
minecraft:magma, Magma Block
minecraft:nether_wart_block, Nether Wart Block
minecraft:red_nether_brick, Red Nether Brick
minecraft:bone_block, Bone Block
minecraft:structure_void, Structure Void
minecraft:structure_block, Structure Block
minecraft:iron_shovel, Iron Shovel
minecraft:iron_pickaxe, Iron Pickaxe
minecraft:iron_axe, Iron Axe
minecraft:flint_and_steel, Flint and Steel
minecraft:apple, Apple
minecraft:bow, Bow
minecraft:arrow, Arrow
minecraft:coal:0, Coal
minecraft:coal:1, Charcoal
minecraft:diamond, Diamond
minecraft:iron_ingot, Iron Ingot
minecraft:gold_ingot, Gold Ingot
minecraft:iron_sword, Iron Sword
minecraft:wooden_sword, Wooden Sword
minecraft:wooden_shovel, Wooden Shovel
minecraft:wooden_pickaxe, Wooden Pickaxe
minecraft:wooden_axe, Wooden Axe
minecraft:stone_sword, Stone Sword
minecraft:stone_shovel, Stone Shovel
minecraft:stone_pickaxe, Stone Pickaxe
minecraft:stone_axe, Stone Axe
minecraft:diamond_sword, Diamond Sword
minecraft:diamond_shovel, Diamond Shovel
minecraft:diamond_pickaxe, Diamond Pickaxe
minecraft:diamond_axe, Diamond Axe
minecraft:stick, Stick
minecraft:bowl, Bowl
minecraft:mushroom_stew, Mushroom Stew
minecraft:golden_sword, Golden Sword
minecraft:golden_shovel, Golden Shovel
minecraft:golden_pickaxe, Golden Pickaxe
minecraft:golden_axe, Golden Axe
minecraft:string, String
minecraft:feather, Feather
minecraft:gunpowder, Gunpowder
minecraft:wooden_hoe, Wooden Hoe
minecraft:stone_hoe, Stone Hoe
minecraft:iron_hoe, Iron Hoe
minecraft:diamond_hoe, Diamond Hoe
minecraft:golden_hoe, Golden Hoe
minecraft:wheat_seeds, Seeds
minecraft:wheat, Wheat
minecraft:bread, Bread
minecraft:leather_helmet, Leather Cap
minecraft:leather_chestplate, Leather Tunic
minecraft:leather_leggings, Leather Pants
minecraft:leather_boots, Leather Boots
minecraft:chainmail_helmet, Chain Helmet
minecraft:chainmail_chestplate, Chain Chestplate
minecraft:chainmail_leggings, Chain Leggings
minecraft:chainmail_boots, Chain Boots
minecraft:iron_helmet, Iron Helmet
minecraft:iron_chestplate, Iron Chestplate
minecraft:iron_leggings, Iron Leggings
minecraft:iron_boots, Iron Boots
minecraft:diamond_helmet, Diamond Helmet
minecraft:diamond_chestplate, Diamond Chestplate
minecraft:diamond_leggings, Diamond Leggings
minecraft:diamond_boots, Diamond Boots
minecraft:golden_helmet, Golden Helmet
minecraft:golden_chestplate, Golden Chestplate
minecraft:golden_leggings, Golden Leggings
minecraft:golden_boots, Golden Boots
minecraft:flint, Flint
minecraft:porkchop, Raw Porkchop
minecraft:cooked_porkchop, Cooked Porkchop
minecraft:painting, Painting
minecraft:golden_apple:0, Golden Apple
minecraft:golden_apple:1, Golden Apple
minecraft:sign, Sign
minecraft:wooden_door, Oak Door
minecraft:bucket, Bucket
minecraft:water_bucket, Water Bucket
minecraft:lava_bucket, Lava Bucket
minecraft:minecart, Minecart
minecraft:saddle, Saddle
minecraft:iron_door, Iron Door
minecraft:redstone, Redstone
minecraft:snowball, Snowball
minecraft:boat, Oak Boat
minecraft:leather, Leather
minecraft:milk_bucket, Milk
minecraft:brick, Brick
minecraft:clay_ball, Clay
minecraft:reeds, Sugar Canes
minecraft:paper, Paper
minecraft:book, Book
minecraft:slime_ball, Slimeball
minecraft:chest_minecart, Minecart with Chest
minecraft:furnace_minecart, Minecart with Furnace
minecraft:egg, Egg
minecraft:compass, Compass
minecraft:fishing_rod, Fishing Rod
minecraft:clock, Clock
minecraft:glowstone_dust, Glowstone Dust
minecraft:fish:0, Raw Fish
minecraft:fish:1, Raw Salmon
minecraft:fish:2, Clownfish
minecraft:fish:3, Pufferfish
minecraft:cooked_fish:0, Cooked Fish
minecraft:cooked_fish:1, Cooked Salmon
minecraft:dye:0, Ink Sac
minecraft:dye:1, Rose Red
minecraft:dye:2, Cactus Green
minecraft:dye:3, Cocoa Beans
minecraft:dye:4, Lapis Lazuli
minecraft:dye:5, Purple Dye
minecraft:dye:6, Cyan Dye
minecraft:dye:7, Light Gray Dye
minecraft:dye:8, Gray Dye
minecraft:dye:9, Pink Dye
minecraft:dye:10, Lime Dye
minecraft:dye:11, Dandelion Yellow
minecraft:dye:12, Light Blue Dye
minecraft:dye:13, Magenta Dye
minecraft:dye:14, Orange Dye
minecraft:dye:15, Bone Meal
minecraft:bone, Bone
minecraft:sugar, Sugar
minecraft:cake, Cake
minecraft:bed, Bed
minecraft:repeater, Redstone Repeater
minecraft:cookie, Cookie
minecraft:filled_map:0, Map
minecraft:shears, Shears
minecraft:melon, Melon
minecraft:pumpkin_seeds, Pumpkin Seeds
minecraft:melon_seeds, Melon Seeds
minecraft:beef, Raw Beef
minecraft:cooked_beef, Steak
minecraft:chicken, Raw Chicken
minecraft:cooked_chicken, Cooked Chicken
minecraft:rotten_flesh, Rotten Flesh
minecraft:ender_pearl, Ender Pearl
minecraft:blaze_rod, Blaze Rod
minecraft:ghast_tear, Ghast Tear
minecraft:gold_nugget, Gold Nugget
minecraft:nether_wart, Nether Wart
minecraft:potion, Potion
minecraft:glass_bottle, Glass Bottle
minecraft:spider_eye, Spider Eye
minecraft:fermented_spider_eye, Fermented Spider Eye
minecraft:blaze_powder, Blaze Powder
minecraft:magma_cream, Magma Cream
minecraft:brewing_stand, Brewing Stand
minecraft:cauldron, Cauldron
minecraft:ender_eye, Eye of Ender
minecraft:speckled_melon, Glistering Melon
minecraft:spawn_egg, Spawn
minecraft:experience_bottle, Bottle o' Enchanting
minecraft:fire_charge, Fire Charge
minecraft:writable_book, Book and Quill
minecraft:written_book, Written Book
minecraft:emerald, Emerald
minecraft:item_frame, Item Frame
minecraft:flower_pot, Flower Pot
minecraft:carrot, Carrot
minecraft:potato, Potato
minecraft:baked_potato, Baked Potato
minecraft:poisonous_potato, Poisonous Potato
minecraft:map, Empty Map
minecraft:golden_carrot, Golden Carrot
minecraft:skull:0, Skeleton Skull
minecraft:skull:1, Wither Skeleton Skull
minecraft:skull:2, Zombie Head
minecraft:skull:3, Head
minecraft:skull:4, Creeper Head
minecraft:skull:5, Dragon Head
minecraft:carrot_on_a_stick, Carrot on a Stick
minecraft:nether_star, Nether Star
minecraft:pumpkin_pie, Pumpkin Pie
minecraft:fireworks, Firework Rocket
minecraft:firework_charge, Firework Star
minecraft:enchanted_book, Enchanted Book
minecraft:comparator, Redstone Comparator
minecraft:netherbrick, Nether Brick
minecraft:quartz, Nether Quartz
minecraft:tnt_minecart, Minecart with TNT
minecraft:hopper_minecart, Minecart with Hopper
minecraft:prismarine_shard, Prismarine Shard
minecraft:prismarine_crystals, Prismarine Crystals
minecraft:rabbit, Raw Rabbit
minecraft:cooked_rabbit, Cooked Rabbit
minecraft:rabbit_stew, Rabbit Stew
minecraft:rabbit_foot, Rabbit's Foot
minecraft:rabbit_hide, Rabbit Hide
minecraft:armor_stand, Armor Stand
minecraft:iron_horse_armor, Iron Horse Armor
minecraft:golden_horse_armor, Gold Horse Armor
minecraft:diamond_horse_armor, Diamond Horse Armor
minecraft:lead, Lead
minecraft:name_tag, Name Tag
minecraft:command_block_minecart, Minecart with Command Block
minecraft:mutton, Raw Mutton
minecraft:cooked_mutton, Cooked Mutton
minecraft:banner:15, White Banner
minecraft:banner:14, Orange Banner
minecraft:banner:13, Magenta Banner
minecraft:banner:12, Light Blue Banner
minecraft:banner:11, Yellow Banner
minecraft:banner:10, Lime Banner
minecraft:banner:9, Pink Banner
minecraft:banner:8, Gray Banner
minecraft:banner:7, Light Gray Banner
minecraft:banner:6, Cyan Banner
minecraft:banner:5, Purple Banner
minecraft:banner:4, Blue Banner
minecraft:banner:3, Brown Banner
minecraft:banner:2, Green Banner
minecraft:banner:1, Red Banner
minecraft:banner:0, Black Banner
minecraft:end_crystal, End Crystal
minecraft:spruce_door, Spruce Door
minecraft:birch_door, Birch Door
minecraft:jungle_door, Jungle Door
minecraft:acacia_door, Acacia Door
minecraft:dark_oak_door, Dark Oak Door
minecraft:chorus_fruit, Chorus Fruit
minecraft:chorus_fruit_popped, Popped Chorus Fruit
minecraft:beetroot, Beetroot
minecraft:beetroot_seeds, Beetroot Seeds
minecraft:beetroot_soup, Beetroot Soup
minecraft:dragon_breath, Dragon's Breath
minecraft:splash_potion, item.splash_potion.name
minecraft:spectral_arrow, Spectral Arrow
minecraft:tipped_arrow, Tipped Arrow
minecraft:lingering_potion, item.lingering_potion.name
minecraft:shield, Shield
minecraft:elytra, Elytra
minecraft:spruce_boat, Spruce Boat
minecraft:birch_boat, Birch Boat
minecraft:jungle_boat, Jungle Boat
minecraft:acacia_boat, Acacia Boat
minecraft:dark_oak_boat, Dark Oak Boat
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
forge:bucketFilled, %s Bucket
appliedenergistics2:quartz_ore, Certus Quartz Ore
appliedenergistics2:charged_quartz_ore, Charged Certus Quartz Ore
appliedenergistics2:matrix_frame, Matrix Frame
appliedenergistics2:quartz_block, Certus Quartz Block
appliedenergistics2:quartz_pillar, Certus Quartz Pillar
appliedenergistics2:chiseled_quartz_block, Chiseled Certus Quartz Block
appliedenergistics2:quartz_glass, Quartz Glass
appliedenergistics2:quartz_vibrant_glass, Vibrant Quartz Glass
appliedenergistics2:quartz_fixture, Charged Quartz Fixture
appliedenergistics2:fluix_block, Fluix Block
appliedenergistics2:sky_stone_block, Sky Stone
appliedenergistics2:smooth_sky_stone_block, Sky Stone Block
appliedenergistics2:sky_stone_brick, Sky Stone Brick
appliedenergistics2:sky_stone_small_brick, Sky Stone Small Brick
appliedenergistics2:sky_stone_chest, Sky Stone Chest
appliedenergistics2:smooth_sky_stone_chest, Sky Stone Block Chest
appliedenergistics2:sky_compass, Meteorite Compass
appliedenergistics2:grindstone, Quartz Grindstone
appliedenergistics2:crank, Wooden Crank
appliedenergistics2:inscriber, Inscriber
appliedenergistics2:wireless_access_point, ME Wireless Access Point
appliedenergistics2:charger, Charger
appliedenergistics2:tiny_tnt, Tiny TNT
appliedenergistics2:security_station, ME Security Terminal
appliedenergistics2:quantum_ring, ME Quantum Ring
appliedenergistics2:quantum_link, ME Quantum Link Chamber
appliedenergistics2:spatial_pylon, Spatial Pylon
appliedenergistics2:spatial_io_port, Spatial IO Port
appliedenergistics2:controller, ME Controller
appliedenergistics2:drive, ME Drive
appliedenergistics2:chest, ME Chest
appliedenergistics2:interface, ME Interface
appliedenergistics2:cell_workbench, Cell Workbench
appliedenergistics2:io_port, ME IO Port
appliedenergistics2:condenser, Matter Condenser
appliedenergistics2:energy_acceptor, Energy Acceptor
appliedenergistics2:vibration_chamber, Vibration Chamber
appliedenergistics2:quartz_growth_accelerator, Crystal Growth Accelerator
appliedenergistics2:energy_cell, Energy Cell
appliedenergistics2:dense_energy_cell, Dense Energy Cell
appliedenergistics2:creative_energy_cell, Creative Energy Cell
appliedenergistics2:crafting_unit, Crafting Unit
appliedenergistics2:crafting_accelerator, Crafting Co-Processing Unit
appliedenergistics2:crafting_storage_1k, 1k Crafting Storage
appliedenergistics2:crafting_storage_4k, 4k Crafting Storage
appliedenergistics2:crafting_storage_16k, 16k Crafting Storage
appliedenergistics2:crafting_storage_64k, 64k Crafting Storage
appliedenergistics2:crafting_monitor, Crafting Monitor
appliedenergistics2:molecular_assembler, Molecular Assembler
appliedenergistics2:light_detector, Light Detecting Fixture
appliedenergistics2:paint, tile.appliedenergistics2.paint.name
appliedenergistics2:sky_stone_stairs, Sky Stone Stairs
appliedenergistics2:smooth_sky_stone_stairs, Sky Stone Block Stairs
appliedenergistics2:sky_stone_brick_stairs, Sky Stone Brick Stairs
appliedenergistics2:sky_stone_small_brick_stairs, Sky Stone Small Brick Stairs
appliedenergistics2:fluix_stairs, Fluix Stairs
appliedenergistics2:quartz_stairs, Certus Quartz Stairs
appliedenergistics2:chiseled_quartz_stairs, Chiseled Certus Quartz Stairs
appliedenergistics2:quartz_pillar_stairs, Certus Quartz Pillar Stairs
appliedenergistics2:cable_bus, AE2 Cable and/or Bus
appliedenergistics2:sky_stone_slab:0, Sky Stone Slabs
appliedenergistics2:smooth_sky_stone_slab:0, Sky Stone Block Slabs
appliedenergistics2:sky_stone_brick_slab:0, Sky Stone Brick Slabs
appliedenergistics2:sky_stone_small_brick_slab:0, Sky Stone Small Brick Slabs
appliedenergistics2:fluix_slab:0, Fluix Slabs
appliedenergistics2:quartz_slab:0, Certus Quartz Slabs
appliedenergistics2:chiseled_quartz_slab:0, Chiseled Certus Quartz Slabs
appliedenergistics2:quartz_pillar_slab:0, Certus Quartz Pillar Slabs
appliedenergistics2:certus_quartz_axe, Certus Quartz Axe
appliedenergistics2:certus_quartz_hoe, Certus Quartz Hoe
appliedenergistics2:certus_quartz_spade, Certus Quartz Shovel
appliedenergistics2:certus_quartz_pickaxe, Certus Quartz Pickaxe
appliedenergistics2:certus_quartz_sword, Certus Quartz Sword
appliedenergistics2:certus_quartz_wrench, Certus Quartz Wrench
appliedenergistics2:certus_quartz_cutting_knife, Certus Quartz Cutting Knife
appliedenergistics2:nether_quartz_axe, Nether Quartz Axe
appliedenergistics2:nether_quartz_hoe, Nether Quartz Hoe
appliedenergistics2:nether_quartz_spade, Nether Quartz Shovel
appliedenergistics2:nether_quartz_pickaxe, Nether Quartz Pickaxe
appliedenergistics2:nether_quartz_sword, Nether Quartz Sword
appliedenergistics2:nether_quartz_wrench, Nether Quartz Wrench
appliedenergistics2:nether_quartz_cutting_knife, Nether Quartz Cutting Knife
appliedenergistics2:entropy_manipulator, Entropy Manipulator
appliedenergistics2:wireless_terminal, Wireless Terminal
appliedenergistics2:charged_staff, Charged Staff
appliedenergistics2:matter_cannon, Matter Cannon
appliedenergistics2:portable_cell, Portable Cell
appliedenergistics2:color_applicator, Color Applicator
appliedenergistics2:biometric_card, Biometric Card
appliedenergistics2:memory_card, Memory Card
appliedenergistics2:network_tool, Network Tool
appliedenergistics2:creative_storage_cell, Creative ME Storage Cell
appliedenergistics2:view_cell, View Cell
appliedenergistics2:storage_cell_1k, 1k ME Storage Cell
appliedenergistics2:storage_cell_4k, 4k ME Storage Cell
appliedenergistics2:storage_cell_16k, 16k ME Storage Cell
appliedenergistics2:storage_cell_64k, 64k ME Storage Cell
appliedenergistics2:spatial_storage_cell_2_cubed, 2³ Spatial Storage Cell
appliedenergistics2:spatial_storage_cell_16_cubed, 16³ Spatial Storage Cell
appliedenergistics2:spatial_storage_cell_128_cubed, 128³ Spatial Storage Cell
appliedenergistics2:facade:0, Cable Facade - Stone
appliedenergistics2:facade:0, Cable Facade - Granite
appliedenergistics2:facade:0, Cable Facade - Polished Granite
appliedenergistics2:facade:0, Cable Facade - Diorite
appliedenergistics2:facade:0, Cable Facade - Polished Diorite
